,vehicleID,pairID,address,latitude,longitude
0,0,0,"1737 Broadway St Port Coquitlam, BC, Canada",49.24732281,-122.7644606
1,0,0,"1584 CHADWICK AVE, Port Coquitlam, BC, Canada",49.2640511,-122.7586267
2,0,1,"1584 CHADWICK AVE, Port Coquitlam, BC, Canada",49.2640511,-122.7586267
3,0,1,"2863 COAST MERIDIAN RD, Port Coquitlam, BC, Canada",49.2647072,-122.756402
4,0,2,"2863 COAST MERIDIAN RD, Port Coquitlam, BC, Canada",49.2647072,-122.756402
5,0,2,"1521 SUFFOLK AVE, Port Coquitlam, BC, Canada",49.266619,-122.757075
6,0,3,"1521 SUFFOLK AVE, Port Coquitlam, BC, Canada",49.266619,-122.757075
7,0,3,"3065 COAST MERIDIAN RD, Port Coquitlam, BC, Canada",49.2685506,-122.7564589
8,0,4,"3065 COAST MERIDIAN RD, Port Coquitlam, BC, Canada",49.2685506,-122.7564589
9,0,4,"1676 FRASER AVE, Port Coquitlam, BC, Canada",49.268972,-122.760947
10,0,5,"1676 FRASER AVE, Port Coquitlam, BC, Canada",49.268972,-122.760947
11,0,5,"1835 FRASER AVE, Port Coquitlam, BC, Canada",49.269423,-122.765157
12,0,6,"1835 FRASER AVE, Port Coquitlam, BC, Canada",49.269423,-122.765157
13,0,6,"3147 FLINT ST, Port Coquitlam, BC, Canada",49.269998,-122.7718205
14,0,7,"3147 FLINT ST, Port Coquitlam, BC, Canada",49.269998,-122.7718205
15,0,7,"2033 GRANT AVE, Port Coquitlam, BC, Canada",49.2703099,-122.7709797
16,0,8,"2033 GRANT AVE, Port Coquitlam, BC, Canada",49.2703099,-122.7709797
17,0,8,"1774 SALISBURY AVE, Port Coquitlam, BC, Canada",49.2721394,-122.7636999
18,0,9,"1774 SALISBURY AVE, Port Coquitlam, BC, Canada",49.2721394,-122.7636999
19,0,9,"3455 OXFORD ST, Port Coquitlam, BC, Canada",49.2742414,-122.7676181
20,0,10,"3455 OXFORD ST, Port Coquitlam, BC, Canada",49.2742414,-122.7676181
21,0,10,"3625 ST ANNE ST, Port Coquitlam, BC, Canada",49.2770006,-122.7691708
22,0,11,"3625 ST ANNE ST, Port Coquitlam, BC, Canada",49.2770006,-122.7691708
23,0,11,"3488 FLINT ST, Port Coquitlam, BC, Canada",49.27515,-122.7701123
24,0,12,"3488 FLINT ST, Port Coquitlam, BC, Canada",49.27515,-122.7701123
25,0,12,"3339 JERVIS ST, Port Coquitlam, BC, Canada",49.2715657,-122.7848501
26,0,13,"3339 JERVIS ST, Port Coquitlam, BC, Canada",49.2715657,-122.7848501
27,0,13,"2568 LARKIN AVE, Port Coquitlam, BC, Canada",49.277273,-122.7848798
28,0,14,"2568 LARKIN AVE, Port Coquitlam, BC, Canada",49.277273,-122.7848798
29,0,14,"2458 GLENWOOD AVE, Port Coquitlam, BC, Canada",49.2731382,-122.7814426
30,0,15,"2458 GLENWOOD AVE, Port Coquitlam, BC, Canada",49.2731382,-122.7814426
31,0,15,"3170 RALEIGH ST, Port Coquitlam, BC, Canada",49.2696317,-122.7857056
32,0,16,"3170 RALEIGH ST, Port Coquitlam, BC, Canada",49.2696317,-122.7857056
33,0,16,"1737 Broadway St Port Coquitlam, BC, Canada",49.24732281,-122.7644606
34,1,0,"1737 Broadway St Port Coquitlam, BC, Canada",49.24732281,-122.7644606
35,1,0,"1737 Broadway St Port Coquitlam, BC, Canada",49.24732281,-122.7644606
36,2,0,"1737 Broadway St Port Coquitlam, BC, Canada",49.24732281,-122.7644606
37,2,0,"1737 Broadway St Port Coquitlam, BC, Canada",49.24732281,-122.7644606
